author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
hSWqKkWp,726.9,3.75,1.2383680555555556,2.3125
IcKjfzQr,1572.2,3.5161290322580645,1.3548387096774193,2.3225806451612905
wyPGjHXI,1785.8,3.757575757575758,1.2021645021645022,2.3333333333333335
ROjYpGpg,2090.8,4.4375,1.7,2.3333333333333335
jfsGRqWE,470.8,4.777777777777778,1.2145502645502644,2.3333333333333335
NGOYeija,284.4,3.0833333333333335,1.5416666666666667,2.3333333333333335
dDjkOPQr,569.7,5.555555555555555,1.216490299823633,2.3333333333333335
OLBHqVBQ,2880.3,8.60377358490566,2.8802560646900273,2.339622641509434
Kbxkcdge,4849.1,4.768421052631579,1.41828320802005,2.3473684210526318
WeJYVgll,1598.8,4.0625,1.5152777777777777,2.3541666666666665
gMOEivPk,6002.4,3.562962962962963,1.1318283362727808,2.3555555555555556
QoYbLvwR,2242.4,3.982142857142857,1.2332553854875283,2.357142857142857
PsyLwOzh,2918.0,4.3283582089552235,1.3470149253731343,2.3582089552238807
ixUYgkMr,1636.4,6.82051282051282,1.617979242979243,2.358974358974359
ReeoScgh,2659.8,4.0,1.3511523199023199,2.3653846153846154
oQgELUWu,486.9,5.25,1.2,2.375
ZDwIbocR,482.9,6.625,1.44375,2.375
SdsBiAlx,611.3,4.875,0.9880952380952381,2.375
CERUqPEq,687.5999999999999,6.625,1.0777777777777777,2.375
AfNUWSwr,363.5,3.5,0.96875,2.375
fbnPmDVK,361.4,2.625,0.8020833333333333,2.375
vGejgsEb,6342.1,4.467153284671533,1.4213938129996524,2.3795620437956204
EGnoElmb,1478.3,6.1923076923076925,1.38003663003663,2.3846153846153846
dbHfZflx,2061.9,4.195652173913044,1.2318840579710144,2.391304347826087
ExGYxrGd,3528.8,3.73972602739726,1.0535551206784082,2.3972602739726026
yiFttHhm,6040.7,3.2635135135135136,1.2655700343200345,2.3986486486486487
MvMNxyHy,2196.0,5.2,1.1983673469387754,2.4
iDYpeklJ,3755.5,3.4299065420560746,2.0058744993324433,2.4018691588785046
cEcsaHRi,5904.1,3.3459119496855347,1.5447139862234203,2.40251572327044
VTRPJeJZ,1195.7,5.2727272727272725,1.3523989898989899,2.409090909090909
XkbrChBK,3762.9,3.212962962962963,1.3504666372721927,2.4166666666666665
KZFNSJKx,2264.3,4.1,1.355,2.42
NSaKMhzy,1120.5,7.052631578947368,1.6146616541353382,2.4210526315789473
gGZUbodB,2151.6,4.96969696969697,1.0357503607503606,2.4242424242424243
WWBGRfuO,918.1,5.0,1.5513038548752833,2.4285714285714284
HzAVXJcr,2855.0,5.571428571428571,1.2747165532879818,2.4285714285714284
GJPshIze,509.59999999999997,3.7142857142857144,1.2142857142857142,2.4285714285714284
EwZanREs,2319.4,3.8666666666666667,1.6303571428571428,2.433333333333333
DTXAOJqL,1361.0,5.318181818181818,1.2500541125541125,2.4545454545454546
uoxcotjS,1704.4,4.435897435897436,1.3623931623931624,2.4615384615384617
UEwgWERS,2282.0,4.975609756097561,1.7383275261324043,2.4634146341463414
JFuSYqUO,2191.0,3.1159420289855073,1.338020473890039,2.463768115942029
STjQoXjg,7995.7,5.0058823529411764,1.5698482726423904,2.4647058823529413
OUnPLnre,1619.1,3.323529411764706,1.4366946778711485,2.4705882352941178
zpbsQSfs,450.5,2.473684210526316,1.4166666666666667,2.473684210526316
cpUpXLVW,1587.3,4.03030303030303,1.1974747474747474,2.484848484848485
qqspWYeG,7529.9,2.87,0.9903968253968255,2.49
zUeVyaFP,15209.6,2.6974358974358976,0.9956807081807082,2.4923076923076923
QnhGlukY,4705.5,3.801980198019802,1.161075750432186,2.495049504950495
LlmrUmob,195.39999999999998,9.5,1.3571428571428572,2.5
MHPyAUnB,271.6,3.5,1.027777777777778,2.5
kevAJXpf,667.7,4.9,1.0732142857142857,2.5
eRVnQXVx,2665.3,3.35,1.0714880952380952,2.5
